MCE- PROJECTS,,,,,,,,,,,,
Project Name,Client Name,Project Name,Project Code,Project Location,Scope of Work,Project Type,Contract Value (AED),Contract Duration,Project Status,Commencement Date,Estimated Completion Date,Remark
ONGOING,,,,,,,,,,,,
New Corniche Hospital,RAFED,Design and Supervision Services for New Corniche Hospital at SKMC - Abu Dhabi.,2023.010.HLT.012,Abu Dhabi,Full Design & Construction Supervision,Healthcare,"57,000,000.00",5  Years,Construction,2022,2028,The Project was on hold
New Corniche Hospital - Royal Suites - V01,RAFED,"Design and Supervision Services for New Corniche Hospital at SKMC - Abu Dhabi.
VO1: 8th Floor Royal Suite (New Comments & Requirements as per SEHA email Dated: May 01/2024)",,Abu Dhabi,Design Services,Healthcare,"1,638,308.00",9 Months,Tender Documents,May-24,Jan-26,
New Corniche Hospital - Royal Suites - V02,RAFED,8th Floor Royal Suite -in collaboration  with KM2K,,Abu Dhabi,Design Services,Healthcare,"1,227,096.00",6 Months,Tender Documents,Jun-25,Jan-26,
New Corniche Hospital - SKMC Retail / Mosque - V03,RAFED,SKMC New Mosque & Retail Shops -Reapproval-20% Advance,,Abu Dhabi,Authority Approval / Permitting,Healthcare,"140,000.00",3 Months,Awaiting Building Permit,Jun-25,Jan-26,
New Corniche Hospital - Biomed Tender Package - V04,RAFED,Biomedical Package,,Abu Dhabi,Design Services,Healthcare,"300,000.00",3 Months,Client Review,Aug-25,Dec-25,
AD Police Saadiyat D2,AD POLICE,"Saadiyat
 Island - D2 ",,Abu Dhabi,Full Design & Construction Supervision,Governmental,"1,212,522.64",16 Months,Tender Stage,Jan-26,Jan-27,
AD Police Saadiyat D3,AD POLICE,"Saadiyat 
Island - D3 ",,Abu Dhabi,Full Design & Construction Supervision,Governmental,"1,215,976.88",16 Months,Construction Ongoing,Nov-25,Sep-26,
AD Police Training Hangar - Tarif,AD POLICE,Shawamekh,,Abu Dhabi,Full Design & Construction Supervision,Governmental,"1,248,975.04",16 Months,Construction Ongoing,Feb-26,Dec-26,
Civil Defence Al Shawamekh - C,AD POLICE,Training Aviation,,Abu Dhabi,Full Design & Construction Supervision,Governmental,"1,928,500.00",16 Months,Tender Stage,Nov-25,Sep-26,
AD Police Beda Mutawah,AD POLICE,Bida Mutawa,,Abu Dhabi,Full Design & Construction Supervision,Governmental,"1,465,721.82",16 Months,Tender Stage,Dec-25,Oct-26,
"AD Police, Emergency, and Civil Defence - Rahayel",AD POLICE,Rahayel,,Abu Dhabi,Full Design & Construction Supervision,Governmental,"1,047,290.40",16 Months,Tender Stage,Jan-26,Jan-27,
STMC Multi-Storey Parking,RAFED,Multi Story car parking ,2024.004.HLT-002,Al Ain,Design Services,Healthcare,"985,000.00",6 months,Schematic Stage (Design),Nov-24,Apr-25,
Long Term Care Center,Al Jalila Foundation,,,Dubai,Full Design & Construction Supervision,Healthcare,"8,016,400.00",35 Months,Concept Stage (Design),Aug-25,Sep-27,
Majlis (2) Al Dhafra,Presidential Court,,,"Abu Dhabi, Western Region",Design Review & Supervision,Commercial,"1,676,000.00",12 Months,Construction Ongoing,Feb-25,Apr-26,
Majalis Phase 3 (No 5) Supervision,Presidential Court,,,"Abu Dhabi, Western Region",Construction Supervision,Commercial,"  3,467,000.00 ",11 Months,Construction Ongoing,Feb-25,Mar-26,
Abu Dhabi Stem Cell Research Lab & Hospital,Abu Dhabi Stem Cell Center,,,Abu Dhabi,Full Design & Supervision,Healthcare,"  36,249,549.00 ",16 Months,Ongoing,Mar-21,May-21,
Arab Monetary Fund Fitout & Façade,Arab Monetary Fund,,,Abu Dhabi,Design & Supervision,Commercial,"  2,358,333.00 ",9 Months,Construction Ongoing,May-24,May-26,
Al Kheiran Villa ,Presidential Court,,,Abu Dhabi,Full Design & Supervision,Residential,"  3,266,300.00 ",5 Months,Ongoing,30-Sep,Apr-26,
,,,,,,,"124,442,972.78",,,,,
RECENTLY COMPLETED CONTRACTS,,,,,,,,,,,,
Al Ghurair Rehabilitation Center,Al Ghurair Centre,,,"Dubai, UAE",Design & Supervision,Healthcare,"1,784,900.00",1 Year,Completed,Oct-23,Dec-24,
Perla Towers 1,Emirates Limited ,Perla Tower 1 &2,,Abu Dhabi,Supervision,Residential,"2,608,000.00",24 Months,Completed,Oct-23,Jan-25,
SSMC Staff Parking Phase I,SSMC/RAFED,,,Abu Dhabi,Design Build,Healthcare,"3,953,012.00",5 Months,Completed ,Feb-24,Aug-24,
SSMC Staff Parking Phase II,SSMC/RAFED,,,Abu Dhabi,Design Build,Healthcare,"7,915,590.00",6 Months,DLP Period,Sep-24,Feb-25,
,,,,Total,,,"16,261,502.00",,,,,
UPCOMING PROJECTS,,,,,,,,,,,,
Tawazun Industrial Park,Tawazun,,,Abu Dhabi,Design & Supervision,Industrial,"  13,573,000.00 ",,,,,
Facelift Enhancement Projects at SKMC and Tawam Hospital,RAFED,,,Abu Dhabi & Al Ain,Design & Supervision,Healthcare ,"  23,425,855.74 ",36 Months,Pre-Award / Tender Stage,,,
Abu Dhabi Plant Tissue Culture Lab,Presidential Court,,,Abu Dhabi,Design & Supervision,Institutional,"  4,753,600.00 ",21  Months,Pre-Award / Tender Stage,Jan-26,Oct-27,
New Hospital at Delma Island - Abu Dhabi,RAFED,,,Abu Dhabi,Design & Supervision,Healthcare ,"  11,895,097.00 ",48 Months,Pre-Award / Tender Stage,Mar-26,Mar-30,
Agricultural Genome Bank Design,Abu Dhabi Agriculture & Food Safety Authority (ADAFSA),,,Abu Dhabi,Design & Supervision,Institutional,"  13,149,500.00 ",27 Months,Pre-Award / Tender Stage,Jan-26,Apr-28,
The Farm house,ZAAD DEVELOPMENT LLC,,,Abu Dhabi,Design & Supervision,Residential,"  4,966,200.00 ",25 Months,Pre-Award,Dec-26,Jan-28,
The Beach House,ZAAD DEVELOPMENT LLC,,,Abu Dhabi,Design & Supervision,Residential,"  5,514,456.00 ",21 Months, Tender Stage,TBD,TBD,
Lusaili & Lahbab,Dubai Health,,,Abu Dhabi,Design & Supervision,Healthcare ,"  8,002,900.00 ",36 Months,Pre-Award / Tender Stage,TBD,TBD,
Converting  group of villas into a specialized hospital,AI Hospital - Private,,,Abu Dhabi,Design,Healthcare ,"  540,000.00 ",,Tender Stage,TBD,TBD,
80-Bed General Hospital ,Al Ghurair,,,Abu Dhabi,Full Design,Healthcare ,"  4,298,000.00 ",30 Months,Pre-Award / Tender Stage,TBD,TBD,
Al Gurm Island Villa,ZAAD DEVELOPMENT LLC,,,Abu Dhabi,Design & Supervision,Residential,"  6,457,665.50 ",24 Months,Pre-Award / Tender Stage,TBD,TBD,
SSMC - Strategic Internal Expansion,RAFED,,,Abu Dhabi,Fit out,Healthcare ,"  15,209,806.00 ",36 Months,Pre-Award / Tender Stage,Apr-25,TBD,
"Majlis Al  Amal Ground Floor, Building No: 12, DHCC, Dubai, UAE",Al Jalila Foundation,,,Abu Dhabi,Design & Build,Healthcare ,"  1,018,970.00 ",3 Months,Pre-Award / Tender Stage,TBD,TBD,
Development of Up to Five (5) Clinics,Al Ghurair,,,Abu Dhabi,Pre concept,Healthcare ,"  21,424,000.00 ",38 Months,Pre-Award / Tender Stage,TBD,TBD,
Central Honeybee Pest and Disease Laboratory ,Abu Dhabi Agriculture & Food Safety Authority (ADAFSA),,,Abu Dhabi,Full Design & Supervision,Healthcare ,"  5,500,000.00 ",24 Months,Tender Stage,TBD,TBD,
Specialized Rehab Hospital Extension,IMKAN Properties ,,,Abu Dhabi,Design Consultancy Services,Healthcare,"  3,646,000.00 ",5 Months, Tender Stage,TBD,TBD,
,,,,,,,"  143,375,050.24 ",,,,,